CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41273,안산시 단원구,23,외국인,5.09,35.85,383.22,567.35,738.65,685.28,548.27,360.49,336.54,315.48,200.62,135.92,39.88,8.48,46.86,255.37,222.42,344.26,431.23,303.45,279.67,266.74,191.43,189.02,103.51,53.28,20240317
41271,안산시 상록구,17,내국인,1659.99,1733.64,2339.46,3032.23,2375.32,1791.27,2339.77,2823.66,3576.92,4104.14,3535.69,2047.43,889.93,1438.98,1562.74,1910.89,2121.51,2125.75,1607.15,1945.85,2424.05,3390.51,3218.79,2727.75,1717.66,820.55,20240323
41271,안산시 상록구,07,외국인,0.0,24.21,215.98,111.15,140.0,126.88,107.39,56.64,97.55,81.83,58.57,39.64,8.53,5.1,32.59,204.43,92.88,85.73,113.25,103.45,80.74,59.97,63.56,78.98,63.67,13.76,20240307
41271,안산시 상록구,21,외국인,3.42,70.62,584.73,252.84,213.51,223.48,200.61,111.3,109.62,101.11,66.83,42.9,29.1,8.6,82.65,567.94,220.17,176.64,183.23,193.24,116.3,85.47,95.73,111.9,49.58,15.58,20240304
41271,안산시 상록구,05,내국인,526.29,719.74,1113.24,1399.73,1373.35,946.71,1221.72,1352.0,1724.58,1964.07,1692.42,1046.39,521.81,566.16,643.21,915.84,1065.55,1016.83,690.49,958.98,1119.5,1757.92,1792.56,1422.61,842.58,411.24,20240322
41273,안산시 단원구,04,내국인,595.94,807.26,1254.05,1778.22,1623.07,1139.78,1300.54,1367.64,1742.59,1738.38,1580.11,1075.14,602.18,527.28,696.43,989.61,1298.11,1144.1,810.48,999.12,1105.63,1590.5,1495.7,1402.44,925.83,512.5,20240304
41273,안산시 단원구,19,외국인,18.8,56.25,591.26,921.36,1122.92,1035.01,914.89,642.99,581.63,446.17,319.85,160.28,62.09,22.09,59.25,441.62,374.19,609.09,712.84,599.37,515.34,426.05,388.99,295.27,157.76,73.12,20240311
41271,안산시 상록구,11,내국인,2320.02,4580.31,2911.87,2566.0,2264.57,1694.11,2077.54,2632.96,3274.42,3302.16,3157.22,2145.73,1052.86,2257.51,4398.6,2495.46,1916.26,1913.24,1611.98,2328.8,2741.54,3674.45,3606.11,3275.37,2199.35,1113.37,20240307
41273,안산시 단원구,12,외국인,31.1,54.27,666.6,1086.16,1342.52,1387.06,1003.21,722.09,837.11,535.5,484.44,214.77,94.87,37.4,61.95,355.76,552.62,712.7,1018.21,809.35,698.56,561.74,453.97,371.25,211.78,93.53,20240325
41273,안산시 단원구,10,외국인,33.21,51.26,514.38,913.94,1128.69,1130.42,940.13,678.39,653.26,483.15,396.48,217.27,116.62,39.14,59.26,286.31,429.07,635.18,896.85,780.39,551.09,486.26,386.8,335.95,211.56,79.48,20240318
41271,안산시 상록구,13,외국인,6.79,55.19,473.68,275.03,310.24,347.87,262.59,182.19,174.94,145.61,102.28,87.36,15.42,22.24,58.39,493.98,235.23,230.04,262.31,262.28,170.72,141.8,154.14,152.25,104.81,32.61,20240317
41271,안산시 상록구,19,외국인,5.1,63.81,650.19,278.86,281.66,285.1,238.17,120.04,162.87,94.65,85.56,68.4,20.51,15.31,73.84,592.45,280.21,186.98,260.11,205.76,142.1,116.35,128.44,109.55,94.17,29.06,20240308
41273,안산시 단원구,12,내국인,2236.18,3363.64,2900.27,3905.2,4080.04,3427.25,4686.3,5106.39,6340.0,6312.67,5847.41,3554.79,1843.85,2247.69,2597.88,2774.45,3579.88,3213.86,2761.45,3804.54,4153.0,5788.63,5600.37,4855.5,3068.0,1514.26,20240304
41271,안산시 상록구,18,외국인,10.27,77.7,602.31,257.1,270.12,269.38,233.33,133.82,140.74,104.86,82.22,59.61,22.24,22.2,108.21,694.29,268.46,171.96,204.17,174.52,85.96,106.21,107.92,109.97,83.74,29.13,20240305
41273,안산시 단원구,15,내국인,2201.12,3274.52,3039.04,3468.21,3722.44,3100.41,4178.82,4473.63,5681.52,5450.02,5118.4,3256.29,1547.25,2251.45,2563.41,2848.24,3298.35,2989.35,2456.46,3139.82,3467.0,5040.45,5199.72,4313.11,3010.67,1390.62,20240307
41273,안산시 단원구,16,외국인,27.25,51.7,475.8,904.75,1020.36,1070.39,878.29,626.65,663.2,467.72,412.57,186.46,65.25,30.99,61.87,444.56,420.13,590.11,921.57,710.99,526.47,477.6,347.3,303.08,183.08,93.72,20240305
41273,안산시 단원구,05,외국인,3.41,42.08,576.2,994.16,932.55,783.87,475.27,335.21,389.55,282.7,246.66,95.43,47.52,10.21,20.94,153.86,214.45,266.79,331.12,278.83,247.67,204.36,187.06,161.61,114.51,36.85,20240324
41273,안산시 단원구,07,내국인,850.31,846.63,1654.43,2625.66,2347.3,1811.19,1983.48,2009.04,2470.11,2639.81,2558.62,1561.63,750.07,648.58,924.66,1476.89,1965.22,1886.51,1239.81,1497.47,1458.14,2217.49,2200.01,1947.75,1303.43,608.72,20240303
41273,안산시 단원구,05,외국인,5.12,57.22,540.63,1034.8,951.92,780.03,495.58,336.19,330.73,274.83,209.24,102.52,18.71,5.19,29.83,167.23,187.45,234.23,327.35,273.45,210.44,225.35,171.17,131.43,89.91,47.57,20240317
41273,안산시 단원구,03,외국인,8.55,20.96,242.82,402.7,477.76,513.66,357.0,248.35,248.89,190.96,125.45,69.19,16.26,1.72,10.22,116.57,165.61,222.72,282.47,233.14,193.52,205.52,161.43,141.74,74.44,27.86,20240315
41273,안산시 단원구,09,내국인,1131.87,1372.71,1910.56,2891.21,2730.27,2102.21,2547.67,2961.48,3764.94,3923.52,3922.96,2282.8,1061.14,986.63,1466.85,1821.66,2311.98,2151.78,1646.53,2043.6,2271.26,3124.19,3403.53,2958.75,2019.17,1020.26,20240323
41273,안산시 단원구,17,외국인,23.81,48.34,556.6,1003.48,1157.63,1146.81,959.15,725.03,671.8,465.09,377.39,175.99,73.96,23.88,63.5,388.68,451.63,636.64,860.71,716.56,611.57,510.08,381.38,342.62,187.34,104.15,20240321
41273,안산시 단원구,11,외국인,35.01,57.36,524.9,905.54,1277.24,1172.39,932.87,649.73,639.03,511.1,490.19,210.28,96.51,39.0,44.19,323.49,448.27,671.21,858.42,795.95,606.33,533.35,370.08,402.66,213.88,74.36,20240314
41271,안산시 상록구,04,내국인,722.09,733.74,1334.89,1994.56,1528.18,1018.23,1353.6,1487.94,1875.37,1908.24,1546.05,1058.91,434.33,688.37,763.07,1210.03,1414.37,1170.88,947.32,1082.2,1258.45,1805.44,1623.12,1391.59,774.26,413.53,20240323
41273,안산시 단원구,19,외국인,17.01,58.97,565.22,874.69,1069.38,1098.95,921.6,601.03,600.8,400.9,313.39,167.36,61.99,23.8,64.22,372.15,428.51,555.67,661.09,550.52,435.43,475.89,357.44,257.76,169.44,85.34,20240312
41273,안산시 단원구,11,내국인,2174.44,2491.78,2766.36,3770.21,4069.0,3029.84,3739.92,3958.69,4947.67,5513.46,4934.49,3054.95,1448.1,1764.86,2316.41,2752.54,3532.97,3384.49,2598.82,3238.01,3434.5,4796.97,4934.33,4185.84,2693.59,1468.14,20240330
41273,안산시 단원구,11,외국인,25.57,51.86,897.83,1490.41,1653.25,1523.86,957.73,763.92,778.69,757.22,559.91,299.63,86.14,16.96,52.8,337.41,446.28,616.96,805.3,623.2,567.58,535.98,495.24,445.35,263.34,108.23,20240324
41271,안산시 상록구,00,외국인,0.0,20.68,166.97,101.38,142.38,125.76,125.18,44.55,40.96,34.09,28.97,34.27,6.84,0.0,34.24,125.3,77.2,94.46,90.45,77.25,54.77,58.0,53.62,65.07,42.68,15.44,20240301
41273,안산시 단원구,17,내국인,2308.05,2889.18,3220.33,4255.83,3834.17,2755.21,3204.77,3149.43,4243.19,4260.37,4136.6,2317.0,985.88,1829.52,2521.48,3206.98,3975.51,3226.83,2332.74,2703.14,2770.52,3930.15,3904.15,3244.16,1919.42,993.9,20240310
41271,안산시 상록구,01,외국인,5.1,12.09,147.97,138.98,135.89,137.13,95.95,49.73,73.61,34.19,56.66,34.32,10.26,1.74,24.09,180.68,80.92,90.91,88.8,97.74,66.78,44.41,58.34,52.86,29.19,13.67,20240313
41273,안산시 단원구,22,내국인,998.22,2550.92,2727.1,3486.43,3188.02,2248.05,2540.24,2527.13,3039.84,2845.79,2394.38,1451.73,615.11,825.82,1978.95,2532.39,2834.78,2120.09,1419.88,1652.91,2041.65,2646.08,2437.94,1925.4,1087.57,590.1,20240307
41273,안산시 단원구,12,내국인,2190.91,2265.09,2730.66,4357.24,3821.43,2940.37,3771.42,3752.12,4827.49,5417.03,4747.28,2933.93,1426.48,2125.35,2191.14,2928.76,3922.65,3576.87,2640.93,3455.49,3519.98,4677.11,4773.62,3981.72,2678.86,1300.34,20240302
41271,안산시 상록구,11,내국인,2285.89,4572.95,2898.14,3075.64,2270.16,1746.44,2284.81,2551.93,3236.58,3520.69,3145.62,2163.96,1146.23,2333.37,4233.9,2538.93,2045.66,1831.09,1511.24,2325.69,2812.48,4007.96,3942.57,3660.34,2200.66,1171.4,20240327
41271,안산시 상록구,20,외국인,10.26,65.7,665.69,328.7,280.35,264.42,245.58,111.34,150.7,121.8,75.35,58.0,29.03,10.28,89.49,698.47,288.68,226.17,201.95,207.57,133.4,111.24,114.98,109.4,71.84,27.29,20240321
41273,안산시 단원구,21,외국인,10.18,63.27,1000.01,1828.08,1637.76,1288.79,869.35,557.18,504.55,437.3,326.33,139.22,46.06,22.62,63.19,325.29,442.95,534.55,687.4,510.35,418.68,386.09,288.85,246.39,160.85,79.86,20240302
41273,안산시 단원구,04,내국인,756.02,908.51,1322.31,1941.27,1812.68,1338.94,1594.39,1650.94,1912.07,2011.62,1828.77,1163.91,589.8,579.68,646.09,1166.32,1525.36,1302.83,817.83,1152.4,1349.83,1733.81,1761.19,1598.03,1080.34,505.0,20240327
41273,안산시 단원구,05,외국인,3.41,29.82,589.28,1170.49,908.07,758.83,515.6,322.37,346.97,281.32,226.15,117.59,23.9,8.97,25.92,167.62,223.42,333.94,370.82,302.91,261.89,251.38,186.9,175.62,119.56,35.94,20240331
