가게명,주소
홍춘천치즈닭갈비-광명KTX역점,경기도 광명시 일직동 517 광명역센트럴자이 517 광명역센트럴자이 2층 213호
BBQ-광명역점,경기도 광명시 일직동 511-3 114호
달리는커피-일직점,경기도 광명시 일직동 501-4 121호
석촌칼국수보리밥-광명점,"경기도 광명시 일직동 512-3 유-플래닛 어반브릭스 B동 제1층 119,120호"
우리가바라던족발-우리가족,경기도 광명시 일직동 509-1 광명역 효성 해링턴타워 The First 1층 115호
봉황당-일직점,경기도 광명시 일직동 512-3 B동 1층 138호
포베이-광명역점,"경기도 광명시 일직동 515-1 515-1 자이타워 C동 213,214호"
팔팔감자탕왕갈비탕,경기도 광명시 일직동 512-3 다목적 공연장동 어반브릭스 B동 132호
팔팔감자탕왕갈비탕,경기도 광명시 일직동 512-3 다목적 공연장동 어반브릭스 B동 132호
캔&보틀 1리터 카페 L135,"경기도 광명시 일직동 514 지하1층 L135A호 일부호,L135B호"
참쪽갈비-광명점,"경기도 광명시 일직동 512-3 유-플래닛 어반브릭스 B동 제1층 119,120호"
팔각도바베큐치킨-광명역점,"경기도 광명시 일직동 512-3 어반브릭스 C동 117,118호"
육대장-광명GIDC점,경기도 광명시 일직동 514 지하2층 G245호
오늘와인한잔-광명역점,경기도 광명시 일직동 510-10 동일센타시아 110호 111호 112호
로꼬샌도,경기도 광명시 일직동 512-3 어반브릭스 B동 2층 214호
다심티하우스,"경기도 광명시 일직동 514 지하2층 G228호(일직동,GIDC)"
카페스누,경기도 광명시 일직동 512-3 B동 3층 338호
투쁠한점,"경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 에이-1동 지1층 A138호(일직동, 유-플래닛 광명역 유-스트리트몰)"
던킨-광명중앙대병원점,경기도 광명시 일직동 501-4 지하1층 B127호
정이든밥집,경기도 광명시 일직동 512-3 어반브릭스B동 1층 113호
보라브런치,경기도 광명시 일직동 515 광명무역센터 B동 111호
강순자옛맛김치찌개-광명KTX역점,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 A-1동 지1층 A115호
육수당-광명역점,경기도 광명시 일직동 515-1 B동 1층 106호
석촌칼국수보리밥-광명점,"경기도 광명시 일직동 512-3 유-플래닛 어반브릭스 B동 제1층 119,120호"
팔팔감자탕왕갈비탕,경기도 광명시 일직동 512-3 다목적 공연장동 어반브릭스 B동 132호
달리는커피-일직점,경기도 광명시 일직동 501-4 121호
봉황당-일직점,경기도 광명시 일직동 512-3 B동 1층 138호
투쁠한점,"경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 에이-1동 지1층 A138호(일직동, 유-플래닛 광명역 유-스트리트몰)"
캔&보틀 1리터 카페 L135,"경기도 광명시 일직동 514 지하1층 L135A호 일부호,L135B호"
육대장-광명GIDC점,경기도 광명시 일직동 514 지하2층 G245호
참쪽갈비-광명점,"경기도 광명시 일직동 512-3 유-플래닛 어반브릭스 B동 제1층 119,120호"
아차산매운떡볶이-광명역점,경기도 광명시 일직동 515-1 D동 105호
로꼬샌도,경기도 광명시 일직동 512-3 어반브릭스 B동 2층 214호
강순자옛맛김치찌개-광명KTX역점,경기도 광명시 일직동 512 유-플래닛 광명역 유-스트리트몰 A-1동 지1층 A115호
카페스누,경기도 광명시 일직동 512-3 B동 3층 338호
다심티하우스,"경기도 광명시 일직동 514 지하2층 G228호(일직동,GIDC)"
던킨-광명중앙대병원점,경기도 광명시 일직동 501-4 지하1층 B127호
보라브런치,경기도 광명시 일직동 515 광명무역센터 B동 111호
롸버트치킨-광명역점,경기도 광명시 일직동 515-1 광명자이타워 D동 105호
팔도씨피자-광명본점,경기도 광명시 일직동 510-6 서원빌딩 1층 102호
가을제과,"경기도 광명시 일직동 509-1 광명역 효성 해링턴타워 The First 1층 123호(일직동, 광명역 효성 해링턴타워 The First)"
육회에빠지다-광명역점,경기도 광명시 일직동 512-3 어반브릭스 C동 2층 216호
달래고통닭&을지로골뱅이-광명일직점,"경기도 광명시 일직동 511-3 102,103호"
훠라라훠궈마라탕-광명점,경기도 광명시 일직동 509-1 광명역 효성 해링턴타워 The First 2층 201호
메가MGC커피-광명GIDC점,경기도 광명시 일직동 514 1층 1074호
참맛깔곱창-광명점,"경기도 광명시 일직동 512-3 유-플래닛 어반브릭스 B동 제1층 119,120호"
샤브담-광명점,"경기도 광명시 일직동 517 광명역센트럴자이 169호일부,170호"
