카테고리,가게명,주소,정제된_주소,lat,lon
프랜차이즈,프랑킨바베큐치킨-상록점,경기도 안산시 상록구 본오동 918-15 104호,경기도 안산시 상록구 본오동 918-15,37.2887754,126.8648415
프랜차이즈,멕시칸치킨-본오1동점,경기도 안산시 상록구 본오동 854-13 101호,경기도 안산시 상록구 본오동 854-13,37.2903516,126.867051
프랜차이즈,슈퍼떡볶킹-상록점,경기도 안산시 상록구 본오동 934-5 1층,경기도 안산시 상록구 본오동 934-5,37.2902765,126.8588364
프랜차이즈,또봉이통닭-안산본오2호점,경기도 안산시 상록구 본오동 944-7 1층,경기도 안산시 상록구 본오동 944-7,37.2872667,126.8623855
프랜차이즈,기영이숯불두마리치킨-안산본오점,경기도 안산시 상록구 본오동 720-10 1층,경기도 안산시 상록구 본오동 720-10,37.2890144,126.8664735
프랜차이즈,스시정-본오점,"경기도 안산시 상록구 본오동 879-8 대한빌딩 103호, 104호(본오동, 대한빌딩)",경기도 안산시 상록구 본오동 879-8,37.2982442,126.8628961
프랜차이즈,냠냠족발&보쌈-본오점,경기도 안산시 상록구 본오동 805-14 1층,경기도 안산시 상록구 본오동 805-14,37.296789,126.8685627
프랜차이즈,맹호수제돈까스-상록수점,경기도 안산시 상록구 본오동 873-1 상경빌딩 상경빌딩B102호 (본오동),경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
프랜차이즈,버거킹-상록수역점(24),경기도 안산시 상록구 본오동 873-5 서해프라자 873-5 서해프라자 1층 일부 2층 일부,경기도 안산시 상록구 본오동 873-5,37.3013731,126.8659016
프랜차이즈,더꼬치다-본오점,경기도 안산시 상록구 본오동 872-9 872-9 융창빌딩 105호,경기도 안산시 상록구 본오동 872-9,37.2991793,126.8635073
프랜차이즈,한식밥상-상록수점,"경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B112호(본오동, 상경빌딩)",경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
프랜차이즈,열정적인자영업자의김치찜-본오점,경기도 안산시 상록구 본오동 956-5,경기도 안산시 상록구 본오동 956-5,37.2869251,126.8620677
프랜차이즈,한끼1인김치찜&갈비찜-안산본오점,경기도 안산시 상록구 본오동 893-9 1층 101호,경기도 안산시 상록구 본오동 893-9,37.2923824,126.8597209
프랜차이즈,내만삼겹살-안산점,경기도 안산시 상록구 본오동 814-8 103호,경기도 안산시 상록구 본오동 814-8,37.2963087,126.8680182
프랜차이즈,찐하오마라탕-본오동점,경기도 안산시 상록구 본오동 862-7 1층일부,경기도 안산시 상록구 본오동 862-7,37.2932645,126.8657862
프랜차이즈,홍콩반점0410-안산본오점,"경기도 안산시 상록구 본오동 880-8 성은빌딩 1층 102,104호",경기도 안산시 상록구 본오동 880-8,37.2952044,126.8627365
프랜차이즈,쪽갈비에미치닭-안산상록수점,경기도 안산시 상록구 본오동 872-21 1층 101호,경기도 안산시 상록구 본오동 872-21,37.3003913,126.8639373
프랜차이즈,경성찹쌀꽈배기-상록수역점,경기도 안산시 상록구 본오동 872 월드아파트 상가4동 1층102호,경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
프랜차이즈,홍춘천치즈닭갈비-본오3동점,경기도 안산시 상록구 본오동 872-11 대승프라자 106~109호,경기도 안산시 상록구 본오동 872-11,37.2987654,126.8634859
프랜차이즈,1인전용김치찜-본오점,경기도 안산시 상록구 본오동 814-8 103호,경기도 안산시 상록구 본오동 814-8,37.2963087,126.8680182
프랜차이즈,과일에반하다프루타-상록본점,경기도 안산시 상록구 본오동 892-6 1층 일부,경기도 안산시 상록구 본오동 892-6,37.2926207,126.8597393
프랜차이즈,화덕에통째로구운족발-본오점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 1층 127호,경기도 안산시 상록구 본오동 872-20,37.2977001,126.8650771
프랜차이즈,한끼한상도시락-상록수점,"경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B112호(본오동, 상경빌딩)",경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
프랜차이즈,닭발공작소-안산본오점,경기도 안산시 상록구 본오동 815-2 1층 104호,경기도 안산시 상록구 본오동 815-2,37.2964499,126.8685978
프랜차이즈,마라순코우마라탕-상록본오점,경기도 안산시 상록구 본오동 1118-9 1층 101호,경기도 안산시 상록구 본오동 1118-9,37.3010151,126.8727017
프랜차이즈,오늘도김치찜-안산본오점,경기도 안산시 상록구 본오동 773-7 1층,경기도 안산시 상록구 본오동 773-7,37.2941234,126.8740526
프랜차이즈,착한갈비찜-안산상록수점,경기도 안산시 상록구 본오동 872-21 1층 101호,경기도 안산시 상록구 본오동 872-21,37.3003913,126.8639373
프랜차이즈,대동집-상록수점,"경기도 안산시 상록구 본오동 879-1 웅진빌딩 108,109,110호",경기도 안산시 상록구 본오동 879-1,37.3007083,126.8630139
프랜차이즈,백종원의백스비어-상록수역점,경기도 안산시 상록구 본오동 872-23 샘골빌딩 101호,경기도 안산시 상록구 본오동 872-23,37.2997276,126.8665936
프랜차이즈,이차돌-상록수역점,경기도 안산시 상록구 본오동 873-2 본오프라자 873-2 본오프라자 1층 104호,경기도 안산시 상록구 본오동 873-2,37.3014116,126.86473
치킨,거농닭강정,경기도 안산시 상록구 본오동 953-16 953-16 1층,경기도 안산시 상록구 본오동 953-16,37.285646,126.8613832
치킨,추억의통닭,경기도 안산시 상록구 본오동 829-10 1층102호,경기도 안산시 상록구 본오동 829-10,37.2926263,126.8722838
치킨,계장수-안산본점,경기도 안산시 상록구 본오동 919-7 919-7 1층 101호,경기도 안산시 상록구 본오동 919-7,37.2887909,126.8642638
치킨,한방통닭바베큐,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 1층 113호,경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
치킨,커플두마리치킨,경기도 안산시 상록구 본오동 869-7 1층 일부,경기도 안산시 상록구 본오동 869-7,37.2928934,126.8645536
치킨,피자구뜨-본오점,경기도 안산시 상록구 본오동 862-4 862-4 101호,경기도 안산시 상록구 본오동 862-4,37.2932774,126.8654109
치킨,미친닭날개-본오점,경기도 안산시 상록구 본오동 871-6 성문빌딩 1층 8호,경기도 안산시 상록구 본오동 871-6,37.2955711,126.8633183
치킨,79대포-안산본오점,"경기도 안산시 상록구 본오동 874-10 서일빌딩 874-10 서일빌딩 1층 109,110호",경기도 안산시 상록구 본오동 874-10,37.301912,126.8651391
치킨,무근본다방-상록수점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지층 B01호일부 , B02호 일부",경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
치킨,송정례황기닭곰탕삼계탕,경기도 안산시 상록구 본오동 822-4 822-4 102호,경기도 안산시 상록구 본오동 822-4,37.2948983,126.867507
치킨,직계바베큐치킨-본점,경기도 안산시 상록구 본오동 918-15 104호,경기도 안산시 상록구 본오동 918-15,37.2887754,126.8648415
치킨,강호동678치킨-안산본오점,경기도 안산시 상록구 본오동 779 연지프라자 779 연지프라자 1층 107호,경기도 안산시 상록구 본오동 779,37.2946635,126.8723286
치킨,닭강정챔피언-본오점,경기도 안산시 상록구 본오동 759-1 1층 일부호(본오동),경기도 안산시 상록구 본오동 759-1,37.2990312,126.8730893
치킨,한식당-본오점,경기도 안산시 상록구 본오동 667-5 667-5 1층,경기도 안산시 상록구 본오동 667-5,37.288468,126.8652922
피자/양식,파스타의정석-안산본점,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지하층 104호,경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
피자/양식,심야스테이크-상록수점,경기도 안산시 상록구 본오동 873-7 리치스빌딩 104호(본오동),경기도 안산시 상록구 본오동 873-7,37.3010672,126.8658859
피자/양식,우쭈쭈직화쭈꾸미&직화불고기-상록점,"경기도 안산시 상록구 본오동 874-3 상림프라자 874-3 상림프라자 2층 202,204호",경기도 안산시 상록구 본오동 874-3,37.3022307,126.8647737
피자/양식,피자가들어간고기앤쭈꾸미,"경기도 안산시 상록구 본오동 874-3 상림프라자 874-3 상림프라자 2층 202,204호",경기도 안산시 상록구 본오동 874-3,37.3022307,126.8647737
피자/양식,숩수비드전문,경기도 안산시 상록구 본오동 871 신안코아 지층5호,경기도 안산시 상록구 본오동 871,37.2951281,126.8650065
피자/양식,시요땅,경기도 안산시 상록구 본오동 872-21 1층 101호,경기도 안산시 상록구 본오동 872-21,37.3003913,126.8639373
피자/양식,우디버거,경기도 안산시 상록구 본오동 813-1 1층 103호,경기도 안산시 상록구 본오동 813-1,37.2977876,126.8670722
중국집,대운각중화요리,경기도 안산시 상록구 본오동 949-5 949-5 1층,경기도 안산시 상록구 본오동 949-5,37.2868626,126.8635983
중국집,완전짬뽕맛있는집,"경기도 안산시 상록구 본오동 877-8 올림포스보노피아 877-8 올림포스보노피아 121,122,123호",경기도 안산시 상록구 본오동 877-8,37.3021314,126.862977
중국집,짬뽕의전설-본오점,경기도 안산시 상록구 본오동 1126-8 1126-8,경기도 안산시 상록구 본오동 1126-8,37.2996348,126.8726351
중국집,상록관전통중화요리,경기도 안산시 상록구 본오동 666-13 101호,경기도 안산시 상록구 본오동 666-13,37.2880346,126.8640914
중국집,라홍방마라탕-상록수점,경기도 안산시 상록구 본오동 880-8 성은빌딩 880-8 성은빌딩 1층 103호,경기도 안산시 상록구 본오동 880-8,37.2952044,126.8627365
