날짜,시간,요일,기온,강수량,적설,시정,시도,시군구,업종,주문건수
01-01,0,수요일,-6.0,0.0,0.0,2000,경기도,안산시 상록구,음식,36
01-01,1,수요일,-6.3,0.0,0.0,1919,경기도,안산시 상록구,음식,31
01-01,2,수요일,-6.2,0.0,0.0,1955,경기도,안산시 상록구,음식,22
01-01,10,수요일,-3.5,0.0,0.0,1890,경기도,안산시 상록구,음식,2
01-01,11,수요일,-3.0,0.0,0.0,1713,경기도,안산시 상록구,음식,32
01-01,12,수요일,-2.5,0.0,0.0,1979,경기도,안산시 상록구,음식,45
01-01,13,수요일,-1.5,0.0,0.0,1724,경기도,안산시 상록구,음식,38
01-01,14,수요일,-0.5,0.0,0.0,1385,경기도,안산시 상록구,음식,36
01-01,15,수요일,0.0,0.0,0.0,1491,경기도,안산시 상록구,음식,31
01-01,16,수요일,0.2,0.0,0.0,1651,경기도,안산시 상록구,음식,52
01-01,17,수요일,0.1,0.0,0.0,1130,경기도,안산시 상록구,음식,83
01-01,18,수요일,0.0,0.0,0.0,1121,경기도,안산시 상록구,음식,119
01-01,19,수요일,-0.1,0.0,0.0,730,경기도,안산시 상록구,음식,100
01-01,20,수요일,-0.3,0.0,0.0,933,경기도,안산시 상록구,음식,96
01-01,21,수요일,0.0,0.0,0.0,1422,경기도,안산시 상록구,음식,63
01-01,22,수요일,-0.1,0.0,0.0,977,경기도,안산시 상록구,음식,45
01-01,23,수요일,0.0,0.0,0.0,940,경기도,안산시 상록구,음식,35
01-02,0,목요일,-0.2,0.0,0.0,1127,경기도,안산시 상록구,음식,17
01-02,1,목요일,-0.2,0.0,0.0,1447,경기도,안산시 상록구,음식,15
01-02,2,목요일,0.0,0.0,0.0,1335,경기도,안산시 상록구,음식,19
01-02,10,목요일,1.6,0.0,0.0,838,경기도,안산시 상록구,음식,1
01-02,11,목요일,2.1,0.0,0.0,836,경기도,안산시 상록구,음식,19
01-02,12,목요일,2.4,0.0,0.0,776,경기도,안산시 상록구,음식,41
01-02,13,목요일,2.4,0.0,0.0,667,경기도,안산시 상록구,음식,27
01-02,14,목요일,2.6,0.0,0.0,659,경기도,안산시 상록구,음식,27
01-02,15,목요일,3.0,0.0,0.0,622,경기도,안산시 상록구,음식,30
01-02,16,목요일,3.2,0.0,0.0,605,경기도,안산시 상록구,음식,23
01-02,17,목요일,2.8,0.0,0.0,588,경기도,안산시 상록구,음식,39
01-02,18,목요일,2.2,0.0,0.0,554,경기도,안산시 상록구,음식,76
01-02,19,목요일,1.0,0.0,0.0,736,경기도,안산시 상록구,음식,86
01-02,20,목요일,0.8,0.0,0.0,664,경기도,안산시 상록구,음식,68
01-02,21,목요일,0.8,0.0,0.0,588,경기도,안산시 상록구,음식,46
01-02,22,목요일,1.5,0.0,0.0,788,경기도,안산시 상록구,음식,43
01-02,23,목요일,0.8,0.0,0.0,628,경기도,안산시 상록구,음식,35
01-03,0,금요일,1.1,0.0,0.0,862,경기도,안산시 상록구,음식,17
01-03,1,금요일,0.5,0.0,0.0,574,경기도,안산시 상록구,음식,7
01-03,2,금요일,-0.4,0.0,0.0,522,경기도,안산시 상록구,음식,7
01-03,10,금요일,0.1,0.0,0.0,814,경기도,안산시 상록구,음식,5
01-03,11,금요일,1.5,0.0,0.0,640,경기도,안산시 상록구,음식,34
01-03,12,금요일,3.2,0.0,0.0,771,경기도,안산시 상록구,음식,43
01-03,13,금요일,3.4,0.0,0.0,795,경기도,안산시 상록구,음식,30
01-03,14,금요일,4.5,0.0,0.0,959,경기도,안산시 상록구,음식,27
01-03,15,금요일,5.2,0.0,0.0,1410,경기도,안산시 상록구,음식,25
01-03,16,금요일,4.4,0.0,0.0,1114,경기도,안산시 상록구,음식,27
01-03,17,금요일,3.1,0.0,0.0,1241,경기도,안산시 상록구,음식,39
01-03,18,금요일,1.5,0.0,0.0,1387,경기도,안산시 상록구,음식,76
01-03,19,금요일,0.8,0.0,0.0,1153,경기도,안산시 상록구,음식,101
01-03,20,금요일,0.0,0.0,0.0,1239,경기도,안산시 상록구,음식,80
01-03,21,금요일,-0.7,0.0,0.0,775,경기도,안산시 상록구,음식,82
01-03,22,금요일,-2.1,0.0,0.0,736,경기도,안산시 상록구,음식,47
01-03,23,금요일,-2.1,0.0,0.0,711,경기도,안산시 상록구,음식,44
01-04,0,토요일,-3.2,0.0,0.0,584,경기도,안산시 상록구,음식,26
01-04,1,토요일,-3.0,0.0,0.0,597,경기도,안산시 상록구,음식,20
01-04,2,토요일,-3.2,0.0,0.0,537,경기도,안산시 상록구,음식,7
01-04,10,토요일,0.8,0.0,0.0,748,경기도,안산시 상록구,음식,6
01-04,11,토요일,2.8,0.0,0.0,938,경기도,안산시 상록구,음식,31
01-04,12,토요일,4.8,0.0,0.0,1769,경기도,안산시 상록구,음식,62
01-04,13,토요일,6.2,0.0,0.0,985,경기도,안산시 상록구,음식,48
01-04,14,토요일,6.9,0.0,0.0,1095,경기도,안산시 상록구,음식,39
01-04,15,토요일,7.4,0.0,0.0,1743,경기도,안산시 상록구,음식,37
01-04,16,토요일,6.9,0.0,0.0,1219,경기도,안산시 상록구,음식,37
01-04,17,토요일,5.3,0.0,0.0,1120,경기도,안산시 상록구,음식,54
01-04,18,토요일,3.1,0.0,0.0,1399,경기도,안산시 상록구,음식,101
01-04,19,토요일,2.3,0.0,0.0,1118,경기도,안산시 상록구,음식,121
01-04,20,토요일,1.0,0.0,0.0,1131,경기도,안산시 상록구,음식,93
01-04,21,토요일,1.7,0.0,0.0,1390,경기도,안산시 상록구,음식,66
01-04,22,토요일,1.4,0.0,0.0,1825,경기도,안산시 상록구,음식,65
01-04,23,토요일,1.0,0.0,0.0,1973,경기도,안산시 상록구,음식,42
01-05,0,일요일,-0.3,0.0,0.0,1707,경기도,안산시 상록구,음식,33
01-05,1,일요일,-1.6,0.0,0.0,1536,경기도,안산시 상록구,음식,24
01-05,2,일요일,-2.6,0.0,0.0,1376,경기도,안산시 상록구,음식,25
01-05,10,일요일,0.5,0.0,0.0,784,경기도,안산시 상록구,음식,7
01-05,11,일요일,2.0,0.0,0.0,844,경기도,안산시 상록구,음식,40
01-05,12,일요일,4.0,0.0,0.0,1489,경기도,안산시 상록구,음식,44
01-05,13,일요일,5.2,0.0,0.0,1489,경기도,안산시 상록구,음식,46
01-05,14,일요일,5.7,0.0,0.0,1631,경기도,안산시 상록구,음식,44
01-05,15,일요일,5.9,0.0,0.0,1685,경기도,안산시 상록구,음식,38
01-05,16,일요일,6.2,0.0,0.0,1762,경기도,안산시 상록구,음식,48
01-05,17,일요일,5.6,0.0,0.0,1670,경기도,안산시 상록구,음식,59
01-05,18,일요일,3.3,0.0,0.0,1061,경기도,안산시 상록구,음식,101
01-05,19,일요일,2.8,0.0,0.0,971,경기도,안산시 상록구,음식,106
01-05,20,일요일,2.1,0.0,0.0,1209,경기도,안산시 상록구,음식,71
01-05,21,일요일,0.7,0.0,0.0,1029,경기도,안산시 상록구,음식,57
01-05,22,일요일,-1.0,0.0,0.0,820,경기도,안산시 상록구,음식,50
01-05,23,일요일,-1.3,0.0,0.0,756,경기도,안산시 상록구,음식,47
01-06,0,월요일,-1.5,0.0,0.0,689,경기도,안산시 상록구,음식,44
01-06,1,월요일,-0.3,0.0,0.0,933,경기도,안산시 상록구,음식,48
01-06,2,월요일,-0.6,0.0,0.0,1050,경기도,안산시 상록구,음식,42
01-06,10,월요일,4.1,0.0,0.0,1654,경기도,안산시 상록구,음식,18
01-06,11,월요일,4.7,0.0,0.0,2048,경기도,안산시 상록구,음식,52
01-06,12,월요일,4.3,0.1,0.0,1126,경기도,안산시 상록구,음식,60
01-06,13,월요일,4.5,0.0,0.0,1635,경기도,안산시 상록구,음식,50
01-06,14,월요일,4.1,0.0,0.0,1097,경기도,안산시 상록구,음식,48
01-06,15,월요일,3.9,0.4,0.0,1050,경기도,안산시 상록구,음식,44
01-06,16,월요일,3.9,0.0,0.0,1120,경기도,안산시 상록구,음식,64
01-06,17,월요일,3.6,0.0,0.0,1010,경기도,안산시 상록구,음식,78
01-06,18,월요일,3.8,0.3,0.0,1006,경기도,안산시 상록구,음식,106
01-06,19,월요일,3.7,0.0,0.0,727,경기도,안산시 상록구,음식,134
01-06,20,월요일,3.8,0.0,0.0,524,경기도,안산시 상록구,음식,104
01-06,21,월요일,4.2,1.0,0.0,516,경기도,안산시 상록구,음식,92
01-06,22,월요일,4.3,0.0,0.0,403,경기도,안산시 상록구,음식,68
01-06,23,월요일,4.6,0.0,0.0,488,경기도,안산시 상록구,음식,50
01-07,0,화요일,4.9,2.1,0.0,556,경기도,안산시 상록구,음식,18
01-07,1,화요일,5.2,0.0,0.0,743,경기도,안산시 상록구,음식,12
01-07,2,화요일,5.4,0.0,0.0,750,경기도,안산시 상록구,음식,15
01-07,10,화요일,6.7,0.0,0.0,794,경기도,안산시 상록구,음식,1
01-07,11,화요일,7.0,0.0,0.0,967,경기도,안산시 상록구,음식,17
01-07,12,화요일,7.3,3.8,0.0,389,경기도,안산시 상록구,음식,33
01-07,13,화요일,7.5,0.0,0.0,741,경기도,안산시 상록구,음식,33
01-07,14,화요일,7.6,0.0,0.0,1124,경기도,안산시 상록구,음식,26
01-07,15,화요일,7.7,3.4,0.0,928,경기도,안산시 상록구,음식,20
01-07,16,화요일,7.8,0.0,0.0,612,경기도,안산시 상록구,음식,22
01-07,17,화요일,8.0,0.0,0.0,953,경기도,안산시 상록구,음식,51
01-07,18,화요일,8.4,6.7,0.0,934,경기도,안산시 상록구,음식,66
01-07,19,화요일,8.6,0.0,0.0,901,경기도,안산시 상록구,음식,91
01-07,20,화요일,8.6,0.0,0.0,380,경기도,안산시 상록구,음식,88
01-07,21,화요일,8.5,12.5,0.0,383,경기도,안산시 상록구,음식,75
01-07,22,화요일,9.1,0.0,0.0,1576,경기도,안산시 상록구,음식,43
01-07,23,화요일,12.1,0.0,0.0,1283,경기도,안산시 상록구,음식,46
01-08,0,수요일,11.7,2.5,0.0,1150,경기도,안산시 상록구,음식,29
01-08,1,수요일,7.4,0.0,0.0,1609,경기도,안산시 상록구,음식,12
01-08,2,수요일,5.4,0.0,0.0,502,경기도,안산시 상록구,음식,12
01-08,10,수요일,3.6,0.0,0.0,1682,경기도,안산시 상록구,음식,7
01-08,11,수요일,3.7,0.0,0.0,1254,경기도,안산시 상록구,음식,23
01-08,12,수요일,3.4,0.0,0.0,991,경기도,안산시 상록구,음식,30
01-08,13,수요일,4.1,0.0,0.0,1831,경기도,안산시 상록구,음식,36
01-08,14,수요일,4.0,0.0,0.0,523,경기도,안산시 상록구,음식,19
01-08,15,수요일,4.2,0.0,0.0,592,경기도,안산시 상록구,음식,20
01-08,16,수요일,3.8,0.0,0.0,580,경기도,안산시 상록구,음식,28
01-08,17,수요일,3.3,0.0,0.0,550,경기도,안산시 상록구,음식,51
01-08,18,수요일,3.2,0.0,0.0,729,경기도,안산시 상록구,음식,88
01-08,19,수요일,2.7,0.0,0.0,458,경기도,안산시 상록구,음식,87
01-08,20,수요일,2.6,0.0,0.0,890,경기도,안산시 상록구,음식,64
01-08,21,수요일,1.7,0.0,0.0,1574,경기도,안산시 상록구,음식,48
