날짜,시간,요일,기온,강수량,적설,시정,시도,시군구,업종,주문건수
08-01,10,목요일,28.1,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-01,12,목요일,29.8,0.0,0.0,1400.0,경기도,안산시 상록구,음식,3
08-01,13,목요일,30.5,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-01,14,목요일,31.6,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-01,15,목요일,31.3,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-01,16,목요일,31.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-01,17,목요일,30.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-01,19,목요일,28.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,7
08-01,20,목요일,27.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-01,21,목요일,26.8,0.0,0.0,1800.0,경기도,안산시 상록구,음식,5
08-01,22,목요일,26.6,0.0,0.0,1300.0,경기도,안산시 상록구,음식,6
08-02,11,금요일,30.0,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-02,12,금요일,31.2,0.0,0.0,1800.0,경기도,안산시 상록구,음식,2
08-02,13,금요일,32.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-02,14,금요일,32.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-02,16,금요일,32.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-02,17,금요일,32.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-02,18,금요일,31.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-02,19,금요일,30.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-02,20,금요일,28.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-02,21,금요일,27.1,0.0,0.0,1500.0,경기도,안산시 상록구,음식,8
08-02,23,금요일,26.7,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-03,12,토요일,33.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-03,13,토요일,34.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-03,14,토요일,34.8,0.0,0.0,1800.0,경기도,안산시 상록구,음식,2
08-03,15,토요일,34.9,0.0,0.0,1800.0,경기도,안산시 상록구,음식,2
08-03,16,토요일,34.8,0.0,0.0,1800.0,경기도,안산시 상록구,음식,2
08-03,17,토요일,34.5,0.0,0.0,1500.0,경기도,안산시 상록구,음식,5
08-03,18,토요일,29.9,0.0,0.0,1200.0,경기도,안산시 상록구,음식,7
08-03,19,토요일,29.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,6
08-03,20,토요일,28.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,7
08-03,21,토요일,27.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-03,22,토요일,27.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-03,23,토요일,26.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-04,11,일요일,30.9,0.0,0.0,800.0,경기도,안산시 상록구,음식,1
08-04,12,일요일,32.1,0.0,0.0,800.0,경기도,안산시 상록구,음식,2
08-04,13,일요일,32.9,0.0,0.0,800.0,경기도,안산시 상록구,음식,3
08-04,14,일요일,33.9,0.0,0.0,1000.0,경기도,안산시 상록구,음식,1
08-04,15,일요일,33.5,0.0,0.0,1200.0,경기도,안산시 상록구,음식,2
08-04,16,일요일,33.1,0.0,0.0,1200.0,경기도,안산시 상록구,음식,6
08-04,17,일요일,31.8,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-04,18,일요일,30.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,6
08-04,19,일요일,29.7,0.0,0.0,1500.0,경기도,안산시 상록구,음식,4
08-04,20,일요일,28.3,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-04,21,일요일,27.7,0.0,0.0,1500.0,경기도,안산시 상록구,음식,7
08-04,23,일요일,26.5,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-05,11,월요일,33.2,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-05,12,월요일,33.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,6
08-05,14,월요일,34.5,0.0,0.0,1700.0,경기도,안산시 상록구,음식,2
08-05,15,월요일,35.8,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-05,16,월요일,34.5,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-05,17,월요일,34.6,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-05,18,월요일,34.0,0.0,0.0,1200.0,경기도,안산시 상록구,음식,5
08-05,19,월요일,31.9,0.0,0.0,1200.0,경기도,안산시 상록구,음식,4
08-05,20,월요일,31.7,0.0,0.0,1200.0,경기도,안산시 상록구,음식,3
08-06,11,화요일,34.0,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-06,12,화요일,34.2,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-06,14,화요일,36.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-06,15,화요일,35.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-06,16,화요일,35.9,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-06,17,화요일,34.9,0.0,0.0,1500.0,경기도,안산시 상록구,음식,5
08-06,18,화요일,34.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-06,19,화요일,33.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-06,20,화요일,32.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-06,21,화요일,31.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-06,22,화요일,30.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-07,12,수요일,27.9,0.1,0.0,1800.0,경기도,안산시 상록구,음식,1
08-07,13,수요일,29.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-07,14,수요일,30.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-07,15,수요일,32.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-07,16,수요일,31.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-07,17,수요일,31.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-07,18,수요일,31.1,0.0,0.0,1500.0,경기도,안산시 상록구,음식,7
08-07,19,수요일,29.8,0.0,0.0,1500.0,경기도,안산시 상록구,음식,7
08-07,20,수요일,28.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,5
08-07,21,수요일,27.4,0.0,0.0,1200.0,경기도,안산시 상록구,음식,2
08-07,22,수요일,26.8,0.0,0.0,800.0,경기도,안산시 상록구,음식,3
08-08,11,목요일,30.9,0.0,0.0,900.0,경기도,안산시 상록구,음식,1
08-08,13,목요일,31.9,0.0,0.0,1050.0,경기도,안산시 상록구,음식,1
08-08,14,목요일,32.8,0.0,0.0,1100.0,경기도,안산시 상록구,음식,3
08-08,15,목요일,32.1,0.0,0.0,1100.0,경기도,안산시 상록구,음식,4
08-08,16,목요일,31.7,0.0,0.0,1100.0,경기도,안산시 상록구,음식,3
08-08,17,목요일,30.3,0.0,0.0,1200.0,경기도,안산시 상록구,음식,4
08-08,18,목요일,30.4,0.0,0.0,1100.0,경기도,안산시 상록구,음식,3
08-08,19,목요일,29.6,0.0,0.0,1200.0,경기도,안산시 상록구,음식,3
08-08,20,목요일,28.4,0.0,0.0,1300.0,경기도,안산시 상록구,음식,7
08-08,21,목요일,27.2,0.0,0.0,1300.0,경기도,안산시 상록구,음식,1
08-08,22,목요일,27.1,0.0,0.0,1100.0,경기도,안산시 상록구,음식,4
08-08,23,목요일,27.1,0.0,0.0,1100.0,경기도,안산시 상록구,음식,1
08-09,11,금요일,32.2,0.0,0.0,1700.0,경기도,안산시 상록구,음식,1
08-09,12,금요일,32.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-09,13,금요일,33.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-09,14,금요일,32.2,0.0,0.0,1600.0,경기도,안산시 상록구,음식,3
08-09,15,금요일,32.4,0.0,0.0,1600.0,경기도,안산시 상록구,음식,3
08-09,16,금요일,33.4,0.0,0.0,1600.0,경기도,안산시 상록구,음식,2
08-09,17,금요일,32.4,0.0,0.0,1600.0,경기도,안산시 상록구,음식,6
08-09,18,금요일,32.1,0.0,0.0,1600.0,경기도,안산시 상록구,음식,4
08-09,19,금요일,30.7,0.0,0.0,1600.0,경기도,안산시 상록구,음식,9
08-09,20,금요일,29.2,0.0,0.0,1600.0,경기도,안산시 상록구,음식,7
08-09,21,금요일,28.6,0.0,0.0,1500.0,경기도,안산시 상록구,음식,9
08-09,22,금요일,27.5,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-10,11,토요일,33.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-10,12,토요일,34.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-10,13,토요일,34.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-10,14,토요일,35.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-10,15,토요일,34.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-10,16,토요일,35.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-10,17,토요일,35.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-10,18,토요일,34.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-10,19,토요일,33.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-10,20,토요일,32.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-10,21,토요일,31.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-10,22,토요일,30.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-10,23,토요일,29.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-11,10,일요일,29.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-11,12,일요일,32.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,8
08-11,13,일요일,34.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-11,14,일요일,34.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-11,16,일요일,34.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-11,17,일요일,33.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-11,18,일요일,32.0,0.0,0.0,1200.0,경기도,안산시 상록구,음식,2
08-11,19,일요일,31.7,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-11,20,일요일,31.3,0.0,0.0,1600.0,경기도,안산시 상록구,음식,4
08-11,21,일요일,30.9,0.0,0.0,1600.0,경기도,안산시 상록구,음식,5
08-11,22,일요일,30.4,0.0,0.0,1600.0,경기도,안산시 상록구,음식,2
08-11,23,일요일,26.9,1.3,0.0,1000.0,경기도,안산시 상록구,음식,1
08-12,12,월요일,27.3,0.0,0.0,1200.0,경기도,안산시 상록구,음식,2
08-12,13,월요일,26.7,0.4,0.0,600.0,경기도,안산시 상록구,음식,2
08-12,14,월요일,28.2,0.0,0.0,800.0,경기도,안산시 상록구,음식,5
08-12,16,월요일,27.5,6.4,0.0,1200.0,경기도,안산시 상록구,음식,2
08-12,17,월요일,28.1,0.0,0.0,1200.0,경기도,안산시 상록구,음식,3
08-12,19,월요일,28.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-12,20,월요일,28.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-12,21,월요일,27.4,0.6,0.0,1200.0,경기도,안산시 상록구,음식,1
08-13,11,화요일,31.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-13,13,화요일,33.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-13,14,화요일,33.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-13,15,화요일,33.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-13,17,화요일,34.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-13,18,화요일,33.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-13,19,화요일,30.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-13,20,화요일,29.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-13,21,화요일,28.1,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-13,22,화요일,27.0,0.4,0.0,1200.0,경기도,안산시 상록구,음식,3
08-13,23,화요일,26.9,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-14,11,수요일,32.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-14,12,수요일,32.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-14,13,수요일,33.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-14,15,수요일,34.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-14,16,수요일,34.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-14,17,수요일,34.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-14,18,수요일,30.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,6
08-14,19,수요일,29.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-14,20,수요일,31.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,6
08-14,21,수요일,31.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,7
08-14,22,수요일,30.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-15,10,목요일,25.0,0.5,0.0,1300.0,경기도,안산시 상록구,음식,1
08-15,11,목요일,24.7,2.4,0.0,1300.0,경기도,안산시 상록구,음식,2
08-15,12,목요일,24.0,14.5,0.0,800.0,경기도,안산시 상록구,음식,4
08-15,13,목요일,24.6,9.0,0.0,800.0,경기도,안산시 상록구,음식,3
08-15,14,목요일,25.2,0.5,0.0,1300.0,경기도,안산시 상록구,음식,2
08-15,15,목요일,26.0,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-15,16,목요일,26.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-15,17,목요일,25.6,0.0,0.0,1800.0,경기도,안산시 상록구,음식,4
08-15,18,목요일,25.6,0.7,0.0,2000.0,경기도,안산시 상록구,음식,5
08-15,19,목요일,25.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,7
08-15,20,목요일,24.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-15,21,목요일,24.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-15,22,목요일,24.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-15,23,목요일,24.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-16,11,금요일,27.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-16,12,금요일,28.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-16,13,금요일,28.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-16,14,금요일,29.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-16,15,금요일,28.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-16,17,금요일,28.1,0.0,0.0,1800.0,경기도,안산시 상록구,음식,3
08-16,18,금요일,27.7,0.0,0.0,1800.0,경기도,안산시 상록구,음식,3
08-16,20,금요일,24.9,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-16,21,금요일,24.3,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-16,22,금요일,24.3,0.0,0.0,1500.0,경기도,안산시 상록구,음식,4
08-17,11,토요일,26.8,0.3,0.0,1200.0,경기도,안산시 상록구,음식,1
08-17,12,토요일,26.2,0.2,0.0,1400.0,경기도,안산시 상록구,음식,1
08-17,13,토요일,26.8,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-17,14,토요일,26.4,0.0,0.0,1200.0,경기도,안산시 상록구,음식,6
08-17,15,토요일,25.5,0.0,0.0,1400.0,경기도,안산시 상록구,음식,2
08-17,16,토요일,26.4,0.0,0.0,1400.0,경기도,안산시 상록구,음식,2
08-17,17,토요일,27.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,7
08-17,18,토요일,27.0,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-17,19,토요일,26.0,0.0,0.0,1800.0,경기도,안산시 상록구,음식,2
08-17,20,토요일,24.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-17,21,토요일,23.3,0.0,0.0,1500.0,경기도,안산시 상록구,음식,5
08-17,22,토요일,22.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-17,23,토요일,22.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-18,10,일요일,25.8,0.0,0.0,1000.0,경기도,안산시 상록구,음식,1
08-18,11,일요일,26.4,0.0,0.0,1200.0,경기도,안산시 상록구,음식,4
08-18,12,일요일,27.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-18,13,일요일,28.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-18,14,일요일,29.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-18,15,일요일,29.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-18,16,일요일,29.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-18,17,일요일,28.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-18,18,일요일,27.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,6
08-18,19,일요일,25.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-18,20,일요일,23.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,6
08-18,21,일요일,23.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-18,22,일요일,22.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-19,12,월요일,28.9,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-19,14,월요일,30.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-19,16,월요일,30.6,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-19,17,월요일,30.8,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-19,18,월요일,29.0,0.0,0.0,1500.0,경기도,안산시 상록구,음식,5
08-19,19,월요일,27.3,0.0,0.0,1500.0,경기도,안산시 상록구,음식,6
08-19,20,월요일,26.1,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-19,21,월요일,25.9,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-19,22,월요일,25.2,0.0,0.0,1800.0,경기도,안산시 상록구,음식,2
08-19,23,월요일,24.4,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-20,11,화요일,29.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-20,12,화요일,29.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-20,13,화요일,30.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-20,16,화요일,31.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-20,17,화요일,31.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-20,18,화요일,30.7,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-20,19,화요일,30.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,3
08-20,20,화요일,29.1,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-20,21,화요일,27.8,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-20,22,화요일,27.5,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-21,12,수요일,29.3,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-21,13,수요일,30.0,0.0,0.0,1000.0,경기도,안산시 상록구,음식,1
08-21,14,수요일,30.2,0.0,0.0,1000.0,경기도,안산시 상록구,음식,1
08-21,17,수요일,29.5,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-21,18,수요일,28.7,0.0,0.0,1000.0,경기도,안산시 상록구,음식,4
08-21,19,수요일,28.1,0.0,0.0,1000.0,경기도,안산시 상록구,음식,2
08-21,20,수요일,27.5,0.0,0.0,1000.0,경기도,안산시 상록구,음식,1
08-21,21,수요일,27.0,0.0,0.0,1000.0,경기도,안산시 상록구,음식,1
08-21,23,수요일,26.9,0.0,0.0,1000.0,경기도,안산시 상록구,음식,1
08-22,11,목요일,28.3,0.0,0.0,1300.0,경기도,안산시 상록구,음식,1
08-22,12,목요일,29.0,0.0,0.0,1300.0,경기도,안산시 상록구,음식,3
08-22,13,목요일,30.3,0.0,0.0,1300.0,경기도,안산시 상록구,음식,1
08-22,14,목요일,30.0,0.0,0.0,1100.0,경기도,안산시 상록구,음식,2
08-22,15,목요일,29.9,0.0,0.0,1300.0,경기도,안산시 상록구,음식,1
08-22,16,목요일,29.6,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-22,17,목요일,28.8,0.0,0.0,1500.0,경기도,안산시 상록구,음식,5
08-22,18,목요일,27.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-22,19,목요일,25.3,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-22,21,목요일,24.3,0.0,0.0,1000.0,경기도,안산시 상록구,음식,3
08-23,12,금요일,28.4,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-23,14,금요일,29.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-23,16,금요일,28.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-23,17,금요일,28.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-23,18,금요일,27.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-23,19,금요일,26.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,6
08-23,20,금요일,24.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,7
08-23,21,금요일,23.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-23,23,금요일,23.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-24,11,토요일,24.0,0.0,0.0,1800.0,경기도,안산시 상록구,음식,4
08-24,12,토요일,25.1,0.0,0.0,1800.0,경기도,안산시 상록구,음식,3
08-24,14,토요일,25.6,0.0,0.0,1800.0,경기도,안산시 상록구,음식,6
08-24,16,토요일,25.6,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-24,17,토요일,26.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-24,18,토요일,26.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,6
08-24,19,토요일,24.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-24,20,토요일,22.8,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-24,21,토요일,22.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-24,22,토요일,21.9,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-25,11,일요일,26.6,0.0,0.0,1800.0,경기도,안산시 상록구,음식,1
08-25,12,일요일,26.8,0.0,0.0,1800.0,경기도,안산시 상록구,음식,5
08-25,13,일요일,28.1,0.0,0.0,1800.0,경기도,안산시 상록구,음식,2
08-25,14,일요일,28.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,5
08-25,15,일요일,28.7,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-25,16,일요일,28.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,3
08-25,17,일요일,28.1,0.0,0.0,2000.0,경기도,안산시 상록구,음식,8
08-25,18,일요일,27.3,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-25,19,일요일,25.2,0.0,0.0,2000.0,경기도,안산시 상록구,음식,4
08-25,20,일요일,23.5,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-25,21,일요일,23.6,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-25,23,일요일,22.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-26,12,월요일,27.7,0.0,0.0,1200.0,경기도,안산시 상록구,음식,1
08-26,13,월요일,29.0,0.0,0.0,1500.0,경기도,안산시 상록구,음식,2
08-26,15,월요일,30.2,0.0,0.0,1500.0,경기도,안산시 상록구,음식,1
08-26,18,월요일,29.4,0.0,0.0,2000.0,경기도,안산시 상록구,음식,1
08-26,19,월요일,27.0,0.0,0.0,2000.0,경기도,안산시 상록구,음식,2
08-26,20,월요일,26.6,0.0,0.0,1681.0,경기도,안산시 상록구,음식,3
08-26,21,월요일,26.5,0.0,0.0,1530.0,경기도,안산시 상록구,음식,2
08-26,23,월요일,25.5,0.0,0.0,1053.0,경기도,안산시 상록구,음식,1
08-27,11,화요일,25.4,0.0,0.0,1922.0,경기도,안산시 상록구,음식,3
08-27,14,화요일,26.7,0.0,0.0,1970.0,경기도,안산시 상록구,음식,1
08-27,15,화요일,27.4,0.0,0.0,1966.0,경기도,안산시 상록구,음식,1
08-27,16,화요일,27.8,0.0,0.0,1996.0,경기도,안산시 상록구,음식,1
08-27,18,화요일,27.3,0.0,0.0,1994.0,경기도,안산시 상록구,음식,1
