지점,지점명,일시,기온(°C),강수량(mm),적설(cm),시정(10m)
119,수원,2021-01-01 00:00,-8.7,,,1972
119,수원,2021-01-01 01:00,-8.6,,,1939
119,수원,2021-01-01 02:00,-9.8,,,1822
119,수원,2021-01-01 03:00,-9.8,,,1932
119,수원,2021-01-01 04:00,-9.8,,,1854
119,수원,2021-01-01 05:00,-9.2,,,1848
119,수원,2021-01-01 06:00,-8.9,,,1500
119,수원,2021-01-01 07:00,-8.3,,,1234
119,수원,2021-01-01 08:00,-8.1,,,1034
119,수원,2021-01-01 09:00,-7.4,,,1027
119,수원,2021-01-01 10:00,-5.8,,,1265
119,수원,2021-01-01 11:00,-3.8,,,2000
119,수원,2021-01-01 12:00,-2.1,,,1786
119,수원,2021-01-01 13:00,-.7,,,1930
119,수원,2021-01-01 14:00,-.6,,,1968
119,수원,2021-01-01 15:00,-.5,,,1964
119,수원,2021-01-01 16:00,-.3,,,1888
119,수원,2021-01-01 17:00,-1,,,1707
119,수원,2021-01-01 18:00,-1.7,0,,1301
119,수원,2021-01-01 19:00,-2.4,,,1027
119,수원,2021-01-01 20:00,-3,,,811
119,수원,2021-01-01 21:00,-2.7,,,670
119,수원,2021-01-01 22:00,-3.1,,,675
119,수원,2021-01-01 23:00,-3.4,,,711
119,수원,2021-01-02 00:00,-4.1,,,1293
119,수원,2021-01-02 01:00,-4,,,1998
119,수원,2021-01-02 02:00,-3.6,,,2000
119,수원,2021-01-02 03:00,-4.7,,,2000
119,수원,2021-01-02 04:00,-5.6,,,2000
119,수원,2021-01-02 05:00,-6,,,2000
119,수원,2021-01-02 06:00,-7.2,,,2000
119,수원,2021-01-02 07:00,-7.9,,,2000
119,수원,2021-01-02 08:00,-8.1,,,2000
119,수원,2021-01-02 09:00,-6.7,,,1999
119,수원,2021-01-02 10:00,-4.8,,,1926
119,수원,2021-01-02 11:00,-4,,,1810
119,수원,2021-01-02 12:00,-2.5,,,1999
119,수원,2021-01-02 13:00,-1.6,,,1985
119,수원,2021-01-02 14:00,-1.7,,,2000
119,수원,2021-01-02 15:00,-1,,,2000
119,수원,2021-01-02 16:00,-1.8,,,1985
119,수원,2021-01-02 17:00,-2.4,,,2000
119,수원,2021-01-02 18:00,-3.1,,,1996
119,수원,2021-01-02 19:00,-3.7,,,1950
119,수원,2021-01-02 20:00,-4.7,,,2022
119,수원,2021-01-02 21:00,-5,,,2029
119,수원,2021-01-02 22:00,-4.4,,,2000
119,수원,2021-01-02 23:00,-5.3,,,2000
119,수원,2021-01-03 00:00,-6,,,2000
119,수원,2021-01-03 01:00,-6.7,,,1998
119,수원,2021-01-03 02:00,-7.3,,,2027
119,수원,2021-01-03 03:00,-7.7,,,2000
119,수원,2021-01-03 04:00,-8.1,,,2000
119,수원,2021-01-03 05:00,-8.6,,,2000
119,수원,2021-01-03 06:00,-9.8,,,2000
119,수원,2021-01-03 07:00,-10,,,1998
119,수원,2021-01-03 08:00,-9.8,,,1943
119,수원,2021-01-03 09:00,-7.4,,,1825
119,수원,2021-01-03 10:00,-4.5,,,1745
119,수원,2021-01-03 11:00,-3.5,,,2000
119,수원,2021-01-03 12:00,-2.2,,,1993
119,수원,2021-01-03 13:00,-.9,,,2000
119,수원,2021-01-03 14:00,-.8,,,2000
