CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41273,안산시 단원구,7,내국인,846.4,1210.71,2041.16,2614.3,2172.78,1737.7,1977.31,2219.83,2515.93,2547.59,2255.88,1116.19,519.9,685.57,801.36,1637.87,2148.5,1601.58,1213.64,1213.31,1700.69,1881.78,1986.6,1594.65,905.44,482.73,20220320
41273,안산시 단원구,1,외국인,0.0,5.08,143.78,369.59,490.47,399.62,221.1,238.39,206.44,158.57,78.58,48.13,12.26,1.69,8.5,116.17,140.8,252.87,223.13,192.58,132.85,137.85,134.7,81.38,36.1,18.3,20220301
41273,안산시 단원구,4,내국인,626.19,1008.51,1698.9,2298.09,1855.08,1423.18,1672.89,1561.76,1616.61,1537.79,1341.95,751.23,403.33,623.62,745.73,1435.71,1833.28,1362.25,1083.63,1053.94,1263.68,1423.63,1309.32,1075.77,606.5,393.39,20220306
41271,안산시 상록구,20,외국인,3.47,39.49,370.48,132.22,205.68,184.58,157.76,109.64,47.73,76.9,39.08,29.08,6.93,1.83,51.49,316.65,136.83,135.15,150.34,99.31,63.26,89.05,54.57,49.28,28.92,6.8,20220303
41273,안산시 단원구,20,내국인,1671.99,3027.05,4143.16,4421.42,3379.01,2906.05,3232.26,3817.07,3898.5,3721.29,3012.96,1338.86,589.8,1255.94,2661.4,3398.37,3670.3,2660.42,1942.34,2214.19,3032.01,3240.47,2670.0,1943.85,1072.4,547.33,20220317
41273,안산시 단원구,10,내국인,1299.29,1704.35,2952.47,3716.55,3191.72,2645.16,3152.65,3354.21,4080.96,4123.42,3955.02,2054.23,970.1,1070.87,1412.57,2572.49,3222.24,2478.66,1986.17,2371.01,2811.07,3407.3,3316.24,2723.95,1647.32,921.87,20220327
41273,안산시 단원구,14,내국인,2029.14,3279.19,4019.53,4329.29,3878.11,3995.12,4636.93,5475.01,5929.15,5950.02,5486.48,2984.19,1566.78,2210.61,2916.53,3274.8,3955.78,2995.48,2672.49,3303.61,4401.96,5270.16,5037.73,4032.11,2245.16,1221.06,20220307
41271,안산시 상록구,5,내국인,479.14,730.01,1247.24,1510.36,1157.2,1051.93,1318.37,1314.31,1692.8,1709.37,1336.27,674.97,356.7,448.08,593.84,1028.93,1026.29,811.96,784.41,1051.31,1252.14,1446.02,1392.6,1077.67,548.7,354.94,20220318
41273,안산시 단원구,7,외국인,3.38,8.54,226.65,589.97,670.46,602.59,366.29,288.57,322.72,318.5,148.87,55.76,14.0,3.38,13.77,94.64,157.42,263.65,306.71,277.85,193.55,215.41,183.73,123.01,80.25,14.52,20220306
41273,안산시 단원구,7,외국인,3.41,11.12,246.82,522.27,774.15,676.04,504.61,393.46,465.34,400.68,253.09,101.49,36.47,1.69,11.1,149.04,184.55,347.91,440.38,342.74,259.46,327.76,213.35,190.5,86.17,19.49,20220322
