단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일,정제된_주소,lat,lon
41271320139415,4127110200106000007,경기도 안산상록구 이동 600-7,동진쉐르빌,동진쉐르빌,동진쉐르빌,3,1,8,2011-06-07,경기도 안산상록구 이동 600-7,37.3070336,126.8604181
41271320172944,4127110200106000009,경기도 안산상록구 이동 600-9,상록넥스빌,상록넥스빌,상록넥스빌,3,1,8,2013-03-15,경기도 안산상록구 이동 600-9,37.3072437,126.8602155
41271320174817,4127110200106000010,경기도 안산상록구 이동 600-10,라임하우스,라임하우스,라임하우스,3,1,25,2013-04-25,경기도 안산상록구 이동 600-10,37.307349,126.8601176
41271312168659,4127110200106010001,경기도 안산상록구 이동 601-1,(601-1),,,3,1,19,2001-05-15,경기도 안산상록구 이동 601-1,37.3073497,126.8597349
41271312168660,4127110200106010002,경기도 안산상록구 이동 601-2,아트빌,,,3,1,16,2004-07-16,경기도 안산상록구 이동 601-2,37.3072343,126.8598462
41271320174808,4127110200106010007,경기도 안산상록구 이동 601-7,이레하우스(601-7),,,3,1,10,2013-04-22,경기도 안산상록구 이동 601-7,37.3066759,126.8601395
41271320142286,4127110200106010012,경기도 안산상록구 이동 601-12,(601-12),,,3,1,15,2011-09-19,경기도 안산상록구 이동 601-12,37.3072535,126.8595822
41271320278600,4127110200106020000,경기도 안산상록구 이동 602,가온하우스,,,3,1,15,2013-12-12,경기도 안산상록구 이동 602,37.3065953,126.8604589
41271320322735,4127110200106020005,경기도 안산상록구 이동 602-5,(602-5),,,3,1,10,2015-07-20,경기도 안산상록구 이동 602-5,37.3060465,126.8607461
41271320291056,4127110200106020007,경기도 안산상록구 이동 602-7,라움캐슬(602-7),,,3,1,10,2014-05-30,경기도 안산상록구 이동 602-7,37.306275,126.8605258
41271320091333,4127110200106030002,경기도 안산상록구 이동 603-2,상명아트빌2차,,,3,1,8,2008-05-15,경기도 안산상록구 이동 603-2,37.3057563,126.8612712
41271320136403,4127110200106030003,경기도 안산상록구 이동 603-3,지오트레벨,지오트레벨,지오트레벨,3,1,8,2011-04-20,경기도 안산상록구 이동 603-3,37.3056499,126.8613716
41271320353554,4127110200106030004,경기도 안산상록구 이동 603-4,다온하우스(603-4),,,3,1,9,2017-06-09,경기도 안산상록구 이동 603-4,37.3055629,126.8614799
41271320354816,4127110200106030005,경기도 안산상록구 이동 603-5,공감더하기,,,3,1,12,2017-07-12,경기도 안산상록구 이동 603-5,37.3055352,126.8616205
41271320442442,4127110200106030006,경기도 안산상록구 이동 603-6,퀸즈팰리스(603-6),,,3,1,8,2023-01-30,경기도 안산상록구 이동 603-6,37.3055369,126.861778
41271320180969,4127110200106030009,경기도 안산상록구 이동 603-9,(603-9),,,3,1,10,2013-07-05,경기도 안산상록구 이동 603-9,37.3053892,126.8614543
41271320429908,4127110200106040000,경기도 안산상록구 이동 604,(604-0),,,3,1,8,2021-11-10,경기도 안산상록구 이동 604,37.3064993,126.8610987
41271312168662,4127110200106040006,경기도 안산상록구 이동 604-6,(604-6),,,3,1,13,2002-11-08,경기도 안산상록구 이동 604-6,37.3058689,126.8617756
41271320312022,4127110200106040009,경기도 안산상록구 이동 604-9,풍년하우스,,,3,1,11,2015-01-28,경기도 안산상록구 이동 604-9,37.3059079,126.8614652
41271312168663,4127110200106040011,경기도 안산상록구 이동 604-11,(604-11),,,3,1,9,2003-12-24,경기도 안산상록구 이동 604-11,37.3061648,126.8612174
41271312168664,4127110200106040013,경기도 안산상록구 이동 604-13,(604-13),,,3,1,18,2003-03-05,경기도 안산상록구 이동 604-13,37.3064215,126.8609726
41271312168665,4127110200106050000,경기도 안산상록구 이동 605,(605-0),,,3,1,8,1997-01-20,경기도 안산상록구 이동 605,37.306703,126.8614615
41271312168666,4127110200106050001,경기도 안산상록구 이동 605-1,(605-1),,,3,1,14,2003-07-18,경기도 안산상록구 이동 605-1,37.306598,126.8615957
41271320275947,4127110200106050003,경기도 안산상록구 이동 605-3,(605-3),,,3,1,11,2013-10-28,경기도 안산상록구 이동 605-3,37.3064384,126.8617891
41271320330089,4127110200106050006,경기도 안산상록구 이동 605-6,은진주택(605-6),,,3,1,10,2015-12-15,경기도 안산상록구 이동 605-6,37.3062717,126.8616349
41271320306373,4127110200106050007,경기도 안산상록구 이동 605-7,슈에뜨하우스,슈에뜨하우스,슈에뜨하우스,3,1,9,2014-12-15,경기도 안산상록구 이동 605-7,37.3063696,126.8615528
41271312168667,4127110200106050010,경기도 안산상록구 이동 605-10,지성타운,,,3,1,18,2002-10-09,경기도 안산상록구 이동 605-10,37.3066467,126.8612889
