단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일
41271312169729,4127110400109470003,경기도 안산상록구 본오동 947-3,(947-3),,,3,1,8,2000-08-08
41271312169730,4127110400109470004,경기도 안산상록구 본오동 947-4,대림아트빌(947-4),,,3,1,9,2003-04-14
41271312169731,4127110400109470005,경기도 안산상록구 본오동 947-5,(947-5),,,3,1,15,2001-12-05
41271312169732,4127110400109470006,경기도 안산상록구 본오동 947-6,947-6,,,3,1,8,2001-11-20
41271320276291,4127110400109470009,경기도 안산상록구 본오동 947-9,성원하이츠빌,,,3,1,8,2013-11-06
41271320384605,4127110400109470011,경기도 안산상록구 본오동 947-11,(947-11),,,3,1,16,2019-03-11
41271312169735,4127110400109470013,경기도 안산상록구 본오동 947-13,(947-13),,,3,1,7,1996-12-30
41271100051244,4127110400109480000,경기도 안산상록구 본오동 948,동산,동산아파트,동산아파트,1,1,32,2003-08-07
41271120090885,4127110400109480003,경기도 안산상록구 본오동 948-3,우광아파트,우광파인트리,우광파인트리,1,1,14,2008-04-25
41271120120636,4127110400109480004,경기도 안산상록구 본오동 948-4,동양렉슬,동양렉슬아파트,동양렉슬아파트,1,1,14,2009-06-24
41271120128335,4127110400109480007,경기도 안산상록구 본오동 948-7,그린시아,,,1,1,14,2010-05-19
41271120323663,4127110400109480009,경기도 안산상록구 본오동 948-9,비발디파크(948-9),비발디파크,비발디파크,1,1,14,2015-07-31
41271120323672,4127110400109480010,경기도 안산상록구 본오동 948-10,뉴그랑블,뉴그랑블,뉴그랑블,1,1,14,2015-07-31
41271120124784,4127110400109480014,경기도 안산상록구 본오동 948-14,보라팰리스(948-14),보라팰리스,보라팰리스,1,1,14,2009-11-27
41271120312323,4127110400109480018,경기도 안산상록구 본오동 948-18,홈네스트빌,홈네스트빌,홈네스트빌,1,1,19,2015-01-15
41271220381440,4127110400109480020,경기도 안산상록구 본오동 948-20,연지오피스텔,연지 오피스텔,연지 오피스텔,2,1,12,2018-11-26
41271220356363,4127110400109480022,경기도 안산상록구 본오동 948-22,(948-22),,,2,1,9,2017-09-08
