날짜,요일,시간,예측주문건수
2026-06-11,목요일,0,7.955586800995408
2026-06-11,목요일,1,4.297027732246475
2026-06-11,목요일,2,2.7545215353492343
2026-06-11,목요일,3,-2.967019523148521
2026-06-11,목요일,4,-2.967019523148521
2026-06-11,목요일,5,-2.967019523148521
2026-06-11,목요일,6,-2.8759582164224056
2026-06-11,목요일,7,-2.8759582164224056
2026-06-11,목요일,8,-2.8759582164224056
2026-06-11,목요일,9,-2.8759582164224056
2026-06-11,목요일,10,9.242702929840451
2026-06-11,목요일,11,17.66579898114306
2026-06-11,목요일,12,26.560162578021025
2026-06-11,목요일,13,14.932798709789916
2026-06-11,목요일,14,9.56263586105919
2026-06-11,목요일,15,6.187265785801382
2026-06-11,목요일,16,9.07446953217466
2026-06-11,목요일,17,23.123526679672235
2026-06-11,목요일,18,37.3351120883108
2026-06-11,목요일,19,40.3166808892564
2026-06-11,목요일,20,34.292752732038544
2026-06-11,목요일,21,28.367718045792557
2026-06-11,목요일,22,22.16928500143517
2026-06-11,목요일,23,15.657676334239234
